Cond.,k_prime,Yield,K,n,Plateau_Time,Translation_Rate,Rel. Yield
1A,9046.8051065688,779669.2216152281,2.156561409943327,2.370177871561281,3.976307881985747,214224.68283182173,1.3551710857460315
1B,20494.36632184109,1000933.798804586,1.605900331281188,2.3707132078444064,2.960682787436117,369407.5732444095,1.7615984070206392
2A,30988.458642613947,1102204.1737009548,2.5553903414832293,3.92864331225749,3.856292530037905,423630.6862261191,1.960366788687376
2B,67852.80088577696,1815157.6287133235,2.109919452842486,3.38222137478023,3.357572529944563,727428.8269818516,3.2566622322134693
3A,826.3684831722178,351.9677784317441,3.4507984756562595,3.502237194390726,5.421423698404249,89.30358100789287,0.0020373415123313
3B,846.1645243531707,368.3451149114864,3.4164133899860003,2.411125585973596,6.250287668340087,64.98967115884565,0.0020891873046559
4A,6936.938314061186,617595.9956736059,2.255161895214465,2.005476504933119,4.504165450895286,137304.36177248432,1.0627288953547096
4B,26285.23364537232,874055.4357371681,1.9291943300376304,2.056157953000028,3.805698347856736,232894.63476689093,1.5413733150614797
5A,47917.65758012356,1340790.4581600071,2.6940879105799653,3.172387889155456,4.392548505382688,394707.5552599854,2.397051252121684
5B,26723.32766947953,1429098.315101329,1.8437711484980457,2.374874552942095,3.3965025516906096,460188.51430549,2.507334828638139
6A,8261.282817457242,219668.92553180025,1.5981112864906215,2.2412878640626075,3.0241764627806944,77019.24469654038,0.3926412762537309
6B,6391.723275839409,168551.3078145307,1.3135643325737718,2.416932963381801,2.40053228118896,77532.78651374558,0.302216897694412
7A,3090.048209392276,2116.407873445939,3.137871316112,6.307513043183892,4.132834400493692,1063.5610037538002,0.0090119527712851
7B,1170.5055842780775,16546.8496412829,2.746447015867619,5.46856804173503,3.750895344902671,8236.784891254205,0.0306662517561394
8A,773.8755328320731,1290.6942923202323,2.7372279693793917,5.036047661433934,3.82428200595696,593.6661145124834,0.0035734100542584
8B,913.8880353158308,7690.96089102939,2.086739574733982,4.788391509943208,2.958322263994381,4412.066110190719,0.0148938581239163
9A,-2675.5089980318485,684296.2259908374,2.488807089562084,2.0467847963143844,4.920725769086813,140690.60609472558,1.1570698947007845
9B,494.86606268450055,734068.8610401049,1.870183438534662,1.932950580083887,3.80523905537666,189676.42445288,1.2538895151884597
10A,47866.904104186695,1551761.2224220338,2.635919883929697,3.020563605913648,4.381236472376372,444550.0697965334,2.7592400640393766
10B,24616.27701181657,1402941.3071379424,1.827377071682313,2.2896982853744303,3.423549880436009,439470.3691993632,2.456382875389449
11A,8380.129677039506,433415.1100650982,2.745520734106809,2.909142012849078,4.633033081032751,114811.19865810972,0.7610039289035819
11B,3189.5918684240246,170459.26505408596,1.9984847740428748,2.5437417948663743,3.569780082455148,54241.63877454956,0.2993062417255609
12A,4348.8266674585975,267931.3954083371,1.6608792102583143,3.089453149370963,2.736072216888943,124596.88342280216,0.4709480760657713
12B,7869.157251892175,222335.14141584485,1.2428586736009553,3.091651977839099,2.0468681044875763,138266.5009107324,0.398350341905973
13A,6455.76125401173,242354.47567749655,2.524314910354577,4.449727242342614,3.658908009155671,106802.37520111332,0.4305877749576572
13B,3002.429997526597,136774.38047608876,2.627064995038227,4.844959557858969,3.711517801574821,63061.4719477299,0.2419166919033157
14A,12384.985760949368,478046.9706460575,4.079168748555548,3.427613309772411,6.459348996383094,100422.43041937338,0.8427340395123492
14B,2265.236714021468,38422.42789152196,4.251384897721103,4.349166412746988,6.2064192625873,9826.535170432053,0.070267417486081
15A,8368.308836605387,343436.62996938394,2.089885960634772,3.2517596246966227,3.3752736902580835,133592.620364452,0.6082999084987029
15B,7944.545503128884,415341.2542198134,1.5011538841435488,3.155804692351406,2.452514332894914,218288.0604112445,0.7323409712227809
16A,2088.3740307909047,184919.00361154485,6.432470885342871,6.230996246626956,8.497139400855131,44781.76574646537,0.3229457436028423
16B,1812.2727600899368,17103.83422083331,5.211062366646448,5.063907497177773,7.269181465208452,4155.210024722004,0.0326682360236024
17A,-4144.800619537793,660166.8328043601,2.701366462037948,1.7816978077548618,5.733717346997471,108853.9647701708,1.093969017959203
17B,2347.4060357689486,200996.3479698291,1.9002652693952276,2.1300009445170933,3.684551116109769,56324.03248053827,0.3487337805314819
18A,919.7609553680388,37627.90915113107,3.109985991632189,5.123501194383503,4.323994098058094,15497.387930097662,0.0667126770776958
18B,710.7675224125587,9282.208402062848,3.082638840237425,3.189506128763377,5.015627030752434,2400.999770099417,0.0172280907348805
19A,24040.585199377416,750498.6706994153,2.314065455756257,3.1157107485057547,3.799482840451577,252622.15133336183,1.3380781161053945
19B,2738.2003352706,72479.39165756451,2.261097982532143,2.6780997300839338,3.9496818370708815,21461.59086584518,0.1296336919686594
20A,-1.3254886511309996,163563.72386072847,2.291593351344691,1.6626840745939766,5.048092179186405,29668.745404255395,0.2733471290139114
20B,2674.12958829383,51070.565638116015,3.368995394176005,2.643821359614697,5.917575601325094,10019.415024658952,0.0918196835564765
21A,-15864.345550964914,2009337.875865337,1.880735881024374,2.1104088081533834,3.6630785946809055,563678.8762535792,3.417487777709194
21B,2089.1289518989006,763440.5561452828,1.6173579490558765,2.1009837282757275,3.156977630340356,247931.5396606118,1.315711585785362
22A,7318.383914732629,1544631.4730104534,1.5179506335482662,2.487942390746828,2.7381964392339917,632918.1652636117,2.679777513753008
22B,6158.447048935848,326010.72600329295,1.7711250264793046,2.884343910374092,2.999220622229254,132730.19100936156,0.5741348017580514
23A,766.657869672552,2822.4761604568366,0.3012899636645438,2.447891872495564,0.5474527677081606,5732.9460708384095,0.0062123070110142
23B,737.2107975004253,232.88352794492152,7.622151274366383,2.462698071684433,13.81223308910788,18.811021801869902,0.0016300418010624
24A,21916.43900727936,1505887.6233390227,1.6069416543681792,2.141334648607949,3.107820235315654,501668.7034031713,2.62793848785798
24B,-2912.510831560729,489351.3548833969,1.2778492846391776,2.0152300020817404,2.546041285868967,192932.6767590648,0.8374155236946662
25A,22155.15370899207,1301289.6979854691,2.58815717347396,2.3081039636353737,4.830826666920425,290120.70253510424,2.2619183938112264
25B,697.8318258980127,2768.8098736587644,3.30836693069749,1.6328354415044084,7.360663747147451,341.63463327994776,0.005690760256388
26A,4516.841500830876,1629121.141657108,1.6555515734649755,2.7782877055767283,2.8473299268312333,683483.2739894739,2.823359286362135
26B,5456.7948891473325,294990.5147748461,1.6429336625714943,3.047112564486356,2.721288090116864,136778.08855773203,0.519641890644326
27A,6358.386608131668,2170466.935781322,2.815667607851369,2.0175891644017026,5.606788473814515,388816.3644666009,3.6706220780760064
27B,1733.3220648972274,168029.8200624114,2.0612934576062103,2.3112254984774827,3.84501681905587,47100.86319827391,0.2916466928531467
28A,15786.668390245562,221748.36596377316,2.175574321454264,2.486671514154425,3.925362589885088,63364.34240773391,0.4088584638428842
28B,1503.430169903647,22444.53311851636,2.7400173123205382,3.4234241002653025,4.340763951983557,7010.645083484689,0.0413773113073025
29A,916.4682800519588,8017.23686099961,0.3467615317581401,2.062857142113637,0.6829569227805573,11923.478243735097,0.0154591447185375
29B,710.7366359215781,1505.1051410163657,0.5380272433175163,0.9015215047469538,1.7316254891375849,630.4906807157189,0.0037245470513629
30A,1182.8605455742772,10037.19749922943,0.2997066150938944,2.367881091495915,0.5528499136913371,19825.129787833997,0.0194199727816022
30B,771.8699768632789,1426008.364679705,86263324.83400455,0.555256923984158,396978314.9868,0.0022947209015864,0.0018028275221913
31A,8439.469966078957,334912.7824490332,2.169646015141792,2.485814523685177,3.915267817950578,95929.36508645317,0.5908651073875612
31B,6309.269124681487,574059.7879218472,1.7686085963629372,2.204282414240972,3.373310956583821,178867.99513488257,0.9978489488266952
32A,28595.5754932495,772603.619115649,2.1746065278822164,3.153307236989412,3.5538609832510497,280080.1607376512,1.3847823325216992
32B,1314.707521333433,10920.554287735156,3.090068403227415,2.6388308724078438,5.432066471794677,2331.460993564334,0.0209704255885393
33A,4454.78239131326,418463.7419821029,1.3487543038418115,2.9089386549927925,2.276071421050084,225631.41249991488,0.7315888263550886
33B,3989.4288594532,225356.8108339096,1.406064497893055,2.8017222249167,2.4097789171088,112261.41944338748,0.3966217182531188
34A,10348.55556604451,614377.8824234232,2.265350863192633,2.0927905105596456,4.430260204822668,141894.59821925778,1.0659164060011876
34B,2215.8175481859503,139548.3557559093,2.744482714265967,2.0191972815359387,5.462872580736396,25667.465413469108,0.2394516827824772
35A,23635.68052016871,1136799.2107323797,2.2036995502749126,2.26072025356375,4.153254827449121,291553.4696661993,1.9894037234567248
35B,-1411.4965777302236,99878.3362536456,1.6653428419806116,1.8496448585409264,3.4660591625117867,27732.945804640545,0.1681175139338762
36A,13496.834976671513,147371.03801255865,2.448151938492452,2.3078642696242504,4.5697255255657,34731.54052032195,0.2755695389804989
36B,4818.222269217112,117119.29523868691,2.088373683699176,3.861179921282973,3.1701019254669216,54135.267397332704,0.2110041094119527
37A,1468.4194405541095,15544.29497464984,0.2876445016631285,2.411662013406626,0.5261891236409092,32581.524676120596,0.0294464724386439
37B,1645.5649224757697,13543.7522779206,1.1118656466839043,1.3466120455011683,2.7632182398802643,4100.805707309696,0.0257105311279043
38A,-2337.875567131119,748607.0542711223,2.029236225086793,1.430074356199038,4.867181281986147,131892.4502169584,1.2325546232781843
38B,7138.660636508082,417748.3076503746,0.9295847969235032,2.26921043530095,1.7488872137134372,254941.45939855295,0.7344638007678852
39A,4627.613628967413,73529.85326566131,1.4370328492151236,2.3169687953923224,2.677474975214319,29638.56665478523,0.1348709751673026
39B,10089.194787804096,251765.7099969744,2.1347275708851674,1.5983789351349835,4.805843316920558,47127.44297409392,0.4379905762905129
40A,6207.649280761498,136728.69136675072,1.1237881886739116,2.27647057738456,2.1110956459616164,69243.21818776027,0.2469262091259099
40B,12045.36607400058,132540.1871756568,1.014810408011542,2.459194330114421,1.8401298189946709,80296.29826455528,0.2500442060095206
41A,742.5471556242106,2046.275138064178,0.2911273853363546,1.1498628674136255,0.7974962638986903,2020.538015560799,0.0047945942410083
41B,743.7001005940558,2260.134672527619,0.2760543058127059,1.0882788266747945,0.7833770599568477,2227.5116324522905,0.0051557715302988
42A,15655.928211423296,1076250.0872616386,2.194017106355177,2.3718916690586944,4.044031704387718,290876.10670916113,1.8756291852278744
42B,11293.552231027466,729158.1707620384,1.659325761862251,2.1795530603530624,3.181955141294252,239440.46417718616,1.2738001212792902
43A,5483.910849497112,193000.7247515092,1.6358950140009734,3.70848903286832,2.518138428772889,109380.65477167952,0.34350732154567
43B,5216.903720916655,294271.6105630413,1.2423308333652678,3.117448208219892,2.0393486186741416,184607.93221132457,0.5182489427205978
44A,9400.952391938845,342550.7277895062,5.967781077780718,3.0584730415542256,9.87023893612958,43889.10018037197,0.5859964363680608
44B,14599.29037760525,181005.47985966905,8.124290021130392,3.671958716138556,12.549334336265789,20452.391769338778,0.3190280895547449
45A,55784.70115454176,1692300.2518767042,3.127113927304209,2.380694989875131,5.754173622564228,322090.17840936506,2.9746661156529086
45B,-2780.071118365662,700437.6216817729,2.669454233457448,1.5941109259772248,6.018599126647381,104569.62060764008,1.1473486735308756
46A,-19310.541702063965,1631903.7155858546,1.417602316328923,2.238160948118933,2.6843586838907374,644126.9044997407,2.7804586988403446
46B,71602.52021390974,2035440.50707968,1.6572483412418075,2.3065110322038724,3.094265826181653,708217.0288153751,3.630816910717672
47A,32193.761332886013,502345.4524927532,2.704478983011444,1.650101663843252,5.982433356698265,76624.83903455755,0.8852915949346258
47B,19779.13590885672,923360.1260710752,1.581941708320526,1.9317014092590992,3.219815657925685,281877.6519077274,1.6163919037045134
48A,764.8491874205686,1716.0578535727557,0.2429144485607147,1.0740278662931926,0.6952573647628592,1896.855009890194,0.0042636124361912
48B,1178.5007392284322,15450.005701790797,0.4053860248729343,1.645836825726502,0.898005971803566,15681.465801430884,0.0287258595906704
49A,867.9578730483147,3486.8641996896145,6.384060152056174,6.320051271370936,8.404315962630113,862.9759116245339,0.007525513582648
49B,815.1593059655729,2656.7267556145234,8.619292733619625,13.723262633701204,9.875450684346678,1057.4811687004938,0.0060091908968831
50A,12602.42868935594,454790.3741712337,2.0525498730870964,2.6182378629644583,3.620436352861038,145032.94085321962,0.8059305909362581
50B,10880.932422375266,335575.3806649892,1.3943509476392633,3.0921194565173566,2.296224867613698,186043.3998770592,0.5994387498495858
REFA,3461.7847126432684,272065.28615431336,2.4536419361252726,2.602714922543184,4.339090023330884,72148.70777946913,0.4738815493434726
REFB,18359.395065893437,848636.8338485659,1.909294549437216,2.9948353342054976,3.184352665407879,332783.5897121146,1.498610448928353
52A,11899.4142272349,556246.9942701587,2.435267161108555,2.3179467357898744,4.53649504827888,132362.36718218212,0.972881793940851
52B,37957.723801414446,1104313.436124664,2.938040956168001,2.208559460675356,5.59863579953217,207531.3043019213,1.938385635541968
53A,17814.157079894274,1790398.7977500488,2.8743958568664545,2.0467518979674115,5.6831347760495365,318719.33441766526,3.0504112848233382
53B,33310.45623961213,1823159.3552061487,2.454271094317617,1.9834953648000395,4.9289641416240695,368360.7058238077,3.1469152350199154
54A,56906.7748523535,1693096.5663262212,2.374877443125972,3.3820922298805822,3.7792610504942576,602789.9205897747,3.025375901700256
54B,67001.48044582857,1659815.415251125,2.08532646106538,3.040328175343236,3.4571036777337474,604987.236660161,2.9841384199659218
55A,21172.65667029731,1589641.9825020784,1.582349929225442,2.4513453856982235,2.873355218367704,615660.5228001156,2.780070061925764
55B,42429.82443273848,1523454.6781216506,1.6965680606686124,2.5392178325316284,3.0328599210460383,570030.6659397603,2.7028802984526834
COMA,42168.57741937784,2568942.000343256,2.580973786327221,2.632186770149208,4.542060906433759,654979.0608496004,4.488723991452441
