Batch;Cond.;k_prime;Yield;K;n;Plateau_Time;Translation_Rate;Rel. Yield
2;REF - 0.1 nM - Replicate 1A;911.7135044;27080.58116;2.282763056;3.49080752;4.816240703;10352.92473;0.30443058
2;REF - 0.1 nM - Replicate 1B;2758.203795;95215.54723;2.915965614;3.696729538;5.587482921;30177.49285;1.064813436
2;REF - 0.1 nM - Replicate 1C;3629.354474;141023.7782;2.686367398;3.814064984;5.277870796;50055.87236;1.573188846
2;Top Round 8 - 0.1 nM - Replicate 1A;1509.382203;301422.6988;5.777494174;2.469227032;9.846825967;32206.05048;3.063720221
2;Top Round 8 - 0.1 nM - Replicate 1B;1213.648186;257077.7848;5.573552434;2.473736459;9.579004064;28525.01598;2.628861232
2;Top Round 8 - 0.1 nM - Replicate 1C;3755.115062;297143.2972;4.82609843;2.728961285;8.386728331;42005.59551;3.163613962
2;REF - 0.1 nM - Replicate 2A;1381.751632;45931.27403;3.014193383;3.037685615;4.998726192;11572.3141;0.622135468
2;REF - 0.1 nM - Replicate 2B;2064.210839;59598.18804;2.913050332;3.299481663;4.678812734;16876.04969;0.812203661
2;REF - 0.1 nM - Replicate 2C;5643.683464;97192.09823;2.560060262;4.712833951;3.646480997;44730.41388;1.357272796
2;Top Round 8 - 0.1 nM - Replicate 2A;5643.683464;97192.09823;2.560060262;4.712833951;3.646480997;44730.41388;1.357272796
2;Top Round 8 - 0.1 nM - Replicate 2B;2557.88151;1037004.907;3.683664558;2.629836165;6.485104896;185084.2392;13.53257255
2;Top Round 8 - 0.1 nM - Replicate 2C;0;869394.3111;3.753210542;3.326479708;6.009776565;192636.5775;11.42060136
2;COM - 0.1 nM - Replicate 2A;18164.3693;1452771.09;3.19312363;2.824879376;5.453838658;321307.8764;19.28576139
2;REF - 0.1 nM - Replicate 3A;1691.906408;42421.98895;3.022732851;3.555758349;4.722923108;12475.65935;0.867827231
2;REF - 0.1 nM - Replicate 3B;1522.249972;41404.95564;3.22738932;3.22747789;5.227334435;10351.52298;0.841311308
2;REF - 0.1 nM - Replicate 3C;3053.127316;60281.94342;2.760717135;4.0836618;4.112796357;22292.31188;1.249016281
2;Top Round 8 - 0.1 nM - Replicate 3A;0;749176.0423;5.553384912;2.373434501;10.23300418;80046.68747;13.44811952
2;Top Round 8 - 0.1 nM - Replicate 3B;491.1590065;270790.0078;4.993921598;2.414588865;9.130378675;32732.11868;4.986307338
2;Top Round 8 - 0.1 nM - Replicate 3C;708.9773112;298344.8279;3.154498279;2.537485174;5.640816867;59997.30471;5.786784658
2;COM - 0.1 nM - Replicate 3A;5376.12187;1275966.78;3.242710948;2.645719355;5.693999625;260264.4869;24.83906342
2;REF - 2 nM - Replicate 1A;0;794452.0613;2.272306994;2.643396401;5.000542694;231048.4152;1.220797055
2;REF - 2 nM - Replicate 1B;0;746362.9282;2.170831858;2.625559577;4.857668186;225676.1996;1.147405364
2;REF - 2 nM - Replicate 1C;0;405416.1253;2.063260552;2.678292061;4.684313331;131566.3682;0.623926269
2;Top Round 8 - 2 nM - Replicate 1A;0;2157617.28;3.875073348;2.926135769;7.052483464;407313.6513;3.28476404
2;Top Round 8 - 2 nM - Replicate 1B;0;2401971.408;3.877654447;2.722070248;7.168072851;421539.2963;3.638471824
2;Top Round 8 - 2 nM - Replicate 1C;0;1867818.329;3.144036041;2.854236776;6.131673593;423913.3789;2.859868696
2;REF - 2 nM - Replicate 2A;0;1207877.349;4.423296844;1.761344409;9.445933896;120243.3439;1.502081023
2;REF - 2 nM - Replicate 2B;0;427385.9202;2.312057277;2.679648557;4.037699448;123833.8768;0.571445545
2;REF - 2 nM - Replicate 2C;8578.803384;635996.8943;1.925863834;3.465722494;3.037241815;286129.879;0.864715941
2;Top Round 8 - 2 nM - Replicate 2A;17077.75028;3166341.004;2.564521117;2.400204382;4.701440069;740865.9559;4.236315667
2;Top Round 8 - 2 nM - Replicate 2B;0;1540272.672;2.830004402;2.401936889;5.186439672;326822.6145;2.045073645
2;COM - 2 nM - Replicate 2A;191600.909;5519882.844;1.741483526;4.18870563;2.57299745;3319176.437;7.664635798
2;REF - 2 nM - Replicate 3A;2183.001377;77077.84271;1.495278548;4.131321525;2.219152756;53239.80457;0.365221623
2;REF - 2 nM - Replicate 3B;0;402013.8432;2.208618338;2.831667787;3.768560044;128855.4059;1.843901518
2;REF - 2 nM - Replicate 3C;2101.255743;166375.1029;1.925491515;3.323614601;3.084164674;71795.52817;0.775475029
2;Top Round 8 - 2 nM - Replicate 3A;0;1672005.607;2.380677442;2.960988012;3.988706541;519892.833;7.669728956
2;Top Round 8 - 2 nM - Replicate 3B;785.2593003;299162.8878;2.813189676;2.317309959;5.241168432;61607.39404;1.352827754
2;Top Round 8 - 2 nM - Replicate 3C;0;1845179.31;2.465770454;2.758499776;4.253532393;516058.4499;8.441260881
2;COM - 2 nM - Replicate 3A;0;5502282.622;2.328783307;2.574031915;4.13822731;1520434.623;25.13528558
2;REF - 0.1 nM - Replicate 4A;832.7115682;26889.1022;3.010585605;3.071891778;5.873750437;6859.16486;0.893019002
2;REF - 0.1 nM - Replicate 4B;943.355498;23958.10168;2.934087993;3.714578724;5.606344969;7582.786795;0.804078671
2;REF - 0.1 nM - Replicate 4C;1255.203003;38851.18192;3.119330576;3.52032512;5.882295591;10961.38966;1.294120391
2;Top Round 5 - 0.1 nM - Replicate 1A;7301.14151;414215.6798;2.997077724;3.176982472;5.82246126;109769.9222;13.58648867
2;Top Round 5 - 0.1 nM - Replicate 1B;8683.82783;526193.1547;2.476183462;3.191220493;5.133392216;169534.9319;17.26223805
2;Top Round 5 - 0.1 nM - Replicate 1C;18655.9741;636107.5185;1.972595899;3.370483203;4.419212114;271721.86;21.15203101
2;COM - 0.1 nM - Replicate 3A;11227.51585;507277.7777;2.992238153;3.426120337;5.746222898;145208.5882;16.72964685
2;REF - 0.1 nM - Replicate 5A;2238.065437;67633.18401;2.90985978;3.604574776;4.524396839;20945.07017;0.936467277
2;REF - 0.1 nM - Replicate 5B;2260.520926;78594.76546;2.872614996;3.489824012;4.518895718;23870.40206;1.083284771
2;REF - 0.1 nM - Replicate 5C;3438.996726;62016.59359;2.548789497;4.687608746;3.636247788;28514.46999;0.87908418
2;Top Round 5 - 0.1 nM - Replicate 2A;24733.29771;1069385.408;2.24882322;3.751204729;3.447810416;445953.6398;14.68719536
2;Top Round 5 - 0.1 nM - Replicate 2B;17377.97055;1134425.187;2.416269403;3.354879871;3.856720028;393774.409;15.44319393
2;COM - 0.1 nM - Replicate 4A;31641.22931;540712.9261;2.921957714;4.055336748;4.36300091;187611.6301;7.680316512
2;REF - 2 nM - Replicate 4A;3205.766484;350428.4236;2.423474181;3.193924678;5.062207575;115458.419;0.911259573
2;REF - 2 nM - Replicate 4B;1930.652281;315488.5402;2.460125262;2.829307269;5.209356358;90708.1881;0.816599865
2;REF - 2 nM - Replicate 4C;346.7682351;491035.4724;2.010978987;2.867697902;4.562691669;175056.7017;1.265944116
2;Top Round 5 - 2 nM - Replicate 1A;7594.008134;458674.1217;1.808513908;2.767217003;4.286046619;175454.9443;1.201391164
2;Top Round 5 - 2 nM - Replicate 1B;4711.407553;435800.9652;1.24505449;3.09778661;3.391687767;271076.1667;1.136417715
2;Top Round 5 - 2 nM - Replicate 1C;11449.4851;610548.7115;1.802294334;2.763313129;4.277488883;234026.3238;1.602652465
2;COM - 2 nM - Replicate 3A;104708.0636;3232474.177;1.78051019;3.485048823;4.140560334;1581755.947;8.60881653
2;REF - 2 nM - Replicate 5A;4198.299934;520627.5121;2.392687116;3.16456378;3.904862116;172145.2584;1.423941786
2;REF - 2 nM - Replicate 5B;4198.299934;520627.5121;2.392687116;3.16456378;3.904862116;172145.2584;1.423941786
2;Top Round 5 - 2 nM - Replicate 2A;0;733275.5348;2.218043572;5;3.105261001;413244.5503;1.994548235
2;Top Round 5 - 2 nM - Replicate 2B;2354.331224;882343.8115;1.43065723;3.082668546;2.358851233;475301.3961;2.405063911
2;Top Round 5 - 2 nM - Replicate 2C;31819.9052;1566063.47;1.960685961;2.917237439;3.304893282;582523.0402;4.336679993
2;COM - 2 nM - Replicate 4A;31952.57905;5032873.909;2.103881798;2.920772031;3.544515833;1746756.562;13.73861771
2;REF - 0.1 nM - Replicate 6A;4594.693664;102100.6545;2.549729189;4.380998158;3.71372383;43857.87139;1.391854485
2;REF - 0.1 nM - Replicate 6B;1177.443193;45309.29548;2.515451382;3.274144273;4.052006385;14743.79224;0.60506325
2;REF - 0.1 nM - Replicate 6C;1155.998013;69630.37522;2.838848165;3.019407283;4.719249118;18514.76812;0.918211497
2;Top Round 5 - 0.1 nM - Replicate 3A;7672.125918;767882.6251;2.357179179;3.196988269;3.831804032;260365.4154;10.09583594
2;Top Round 5 - 0.1 nM - Replicate 3B;5643.699439;740525.7432;2.365957966;3.098886388;3.892930994;242481.6056;9.708048986
2;Top Round 5 - 0.1 nM - Replicate 3C;2957.919579;593015.4861;1.961750628;3.123850585;3.217732997;236076.3578;7.764878262
2;COM - 0.1 nM - Replicate 5A;0;662865.7084;2.631532097;2.622508191;4.638413987;165148.1614;8.566136444
2;REF - 2 nM - Replicate 6A;0;533757.6656;2.302104957;2.809428143;3.940947341;162845.9426;0.781583251
2;REF - 2 nM - Replicate 6B;23390.62022;855569.6713;1.936427533;4.190370593;2.860654873;462856.7207;1.293100547
2;REF - 2 nM - Replicate 6C;0;583144.5276;2.285687332;2.794636128;3.921454729;178247.9981;0.85386726
2;Top Round 5 - 2 nM - Replicate 3A;37460.03623;1621544.667;2.368695192;2.620246997;4.176689015;448437.5572;2.423341819
2;Top Round 5 - 2 nM - Replicate 3B;29176.91018;1212549.922;2.336212264;2.677432753;4.081325946;347412.8748;1.815593543
2;Top Round 5 - 2 nM - Replicate 3C;33499.19712;1550590.236;2.264047851;2.651347037;3.971895085;453960.4612;2.31663468
2;COM - 2 nM - Replicate 5A;0;2918035.109;1.525885279;2.62121827;2.690141835;1253175.296;4.283527597
2;P-A5 - 0.1 nM - Replicate 1A;23493.60393;1088956.73;1.966132048;3.981792861;2.953693238;551336.333;14.51343037
2;P-A5 - 2 nM - Replicate 1A;106305.6225;2626199.747;1.708608818;3.242363199;2.762536903;1245910.316;4.017514094
2;P-A8 - 0.1 nM - Replicate 1A;-1961.237601;1132615.15;5.349346379;2.170159656;10.27925682;114871.7773;20.01626861
2;P-A5 - 0.1 nM - Replicate 1B;21972.76484;548632.204;1.864310763;3.960166488;2.805842271;291350.9529;11.29121133
2;P-A8 - 2 nM - Replicate 1A;-30069.04365;2414719.593;2.146490808;1.929648898;4.371238337;542695.1962;10.71570111
2;P-A5 - 2 nM - Replicate 1B;26445.77316;723517.7019;1.984477437;2.65544098;3.479127441;242035.8277;3.440181138
1;Top Round 1 - 0.1 nM - Replicate 1A;33486.45725;2096834.773;2.937134414;2.502743177;5.284266505;446680.1807;3.200119272
1;Top Round 1 - 0.1 nM - Replicate 1B;10876.89403;2295018.826;2.99712558;2.277851162;5.628663259;436060.4151;3.445864229
1;Top Round 1 - 0.1 nM - Replicate 1C;19173.78334;1748234.248;2.788620738;2.410808872;5.102052358;377844.3746;2.653711184
1;Top Round 2 - 0.1 nM - Replicate 1A;57248.55423;2921167.442;3.767778538;2.330902727;7.000670665;451788.5731;4.419785098
1;Top Round 2 - 0.1 nM - Replicate 1B;48344.48875;2754169.266;3.763822455;2.271784921;7.077360124;415593.4746;4.150100696
1;REF - 0.1 nM - Replicate 1A;19810.0178;437526.2318;2.441239964;2.980504419;4.079378762;133543.6998;0.69148214
1;REF - 0.1 nM - Replicate 1B;823.2598815;251010.6306;3.773651625;1.900281155;7.745328778;31600.07988;0.3656691
1;REF - 0.1 nM - Replicate 1C;233.9167567;1435543.714;5.543765205;1.842624505;11.56101418;119285.7168;1.982688296
1;Top Round 1 - 0.1 nM - Replicate 2A;-6384.357254;1513012.434;1.610934927;2.648590915;2.827381694;621898.3336;1.942117738
1;Top Round 1 - 0.1 nM - Replicate 2B;13798.1163;2164549.778;2.391425911;2.555922745;4.262707752;578360.1727;2.789736844
1;Top Round 1 - 0.1 nM - Replicate 2C;15167.24732;1767926.042;3.249591795;2.178256224;6.233255295;296267.6658;2.224170655
1;Top Round 2 - 0.1 nM - Replicate 2A;39354.1976;2379558.406;2.319298697;3.116449688;3.807722339;799355.2169;3.117399916
1;Top Round 2 - 0.1 nM - Replicate 2B;-25189.37843;4014250.323;4.965267867;1.789982163;10.51310848;361784.9363;4.514986538
1;Top Round 2 - 0.1 nM - Replicate 2C;-21722.8927;2582638.389;6.210182318;1.734961081;13.36905451;180380.2555;2.706429692
1;Bad Round 2 - 0.1 nM - Replicate 1A;23627.80497;768508.1967;1.158879922;5.130847648;1.610610319;850627.0578;1.02396948
1;Bad Round 2 - 0.1 nM - Replicate 1B;15194.40246;872261.1816;2.515848207;3.335953906;4.02417133;289149.3103;1.14415999
1;Bad Round 2 - 0.1 nM - Replicate 1C;27062.20607;1045601.147;3.156918093;3.33566938;5.049742431;276201.3163;1.378880405
1;REF - 0.1 nM - Replicate 2A;21694.64743;467882.2583;2.274237967;3.402087329;3.611204216;174979.0837;0.631836328
1;REF - 0.1 nM - Replicate 2B;11368.86771;456891.7326;2.593734076;2.781891694;4.458460931;122509.0236;0.600718061
1;REF - 0.1 nM - Replicate 2C;34971.37067;1298822.234;2.415893285;2.675195292;4.222036779;359556.768;1.711163766
1;Top Round 1 - 0.1 nM - Replicate 3A;79221.70595;1717178.529;2.270863584;3.653271626;3.514058077;690631.4895;2.320380857
1;Top Round 1 - 0.1 nM - Replicate 3B;24280.89688;1130446.06;2.084408566;2.798530807;3.574053462;379434.7441;1.487821738
1;Top Round 1 - 0.1 nM - Replicate 3C;18000.93622;449181.0174;1.6160644;3.180900122;2.632169488;221030.7883;0.603517258
1;Top Round 2 - 0.1 nM - Replicate 3A;60643.65213;1747628.689;2.867528318;2.994170601;4.782935754;456202.857;2.324425481
1;Top Round 2 - 0.1 nM - Replicate 3B;29076.30542;1807206.696;3.277653753;2.471172405;5.930365273;340633.8538;2.32812902
1;Top Round 2 - 0.1 nM - Replicate 3C;5011.300834;1593725.72;4.320622521;1.993052517;8.656306086;183791.7477;1.925353662
1;Bad Round 2 - 0.1 nM - Replicate 2A;-9354.79831;303774.3409;1.680064212;2.065880928;3.306551188;93383.57617;0.376888157
1;Bad Round 2 - 0.1 nM - Replicate 2B;16377.34801;519057.2574;2.044091854;3.640009248;3.167216393;231077.338;0.691765623
1;Bad Round 2 - 0.1 nM - Replicate 2C;25659.44141;647811.9972;2.241320216;3.677809153;3.460154648;265750.6138;0.869969144
1;COM - 0.1 nM - Replicate 1A;32021.09615;1691855.676;3.001906749;2.543887939;5.362000291;358429.7921;2.590117132
1;COM - 0.1 nM - Replicate 2A;19726.9894;1317698.998;2.828286557;2.72047462;4.90754621;316867.3512;1.710269187
